org,teamproject,repo,pipeline,url,serviceConnection,github_org,github_repo
v-biradarm,TestRepo2,fixpipeline1,\fixpipeline1,https://dev.azure.com/v-biradarm/TestRepo2/_build?definitionId=39,99bc1d24-177c-4cdc-9457-45caa069c04d,ADO-migration-test,fixpipeline911
v-biradarm,TestRepo2,fixpipeline2,\fixpipeline2,https://dev.azure.com/v-biradarm/TestRepo2/_build?definitionId=44,99bc1d24-177c-4cdc-9457-45caa069c04d,ADO-migration-test,fixpipeline922
